Age,Department,Education,JobRole,YearsExperience,MonthlyIncome,TrainingCount,WorkLifeBalance,JobSatisfaction,OverTime,PerformanceRating
32,HR,Masters,HR Executive,0,54042,1,1,3,1,1
41,IT,Bachelors,Data Scientist,8,65543,5,1,4,1,3
55,IT,Diploma,Data Scientist,31,42668,5,1,2,1,2
34,Finance,Bachelors,Accountant,5,108109,5,1,3,1,3
39,Finance,Diploma,Accountant,6,33454,2,1,2,1,2
26,Operations,Masters,Operations Executive,2,88277,6,2,1,0,1
58,HR,MBA,HR Executive,14,82351,4,2,3,1,3
45,Finance,Bachelors,Finance Analyst,13,115563,3,3,2,0,2
29,Operations,Diploma,Operations Manager,7,58948,2,4,3,0,1
58,Finance,Diploma,Finance Analyst,32,34721,2,2,2,0,2
51,IT,Diploma,Software Engineer,9,28106,5,1,1,1,1
43,Operations,MBA,Operations Manager,18,65934,6,4,2,1,2
28,Finance,MBA,Accountant,4,27006,6,1,2,1,2
38,IT,MBA,Data Analyst,16,119146,6,1,3,1,3
27,HR,Masters,HR Manager,6,110012,3,3,3,0,3
30,Sales,Bachelors,Sales Manager,8,92925,6,2,4,1,3
53,Sales,MBA,Sales Manager,30,22610,3,2,4,0,3
58,HR,Bachelors,HR Executive,30,66213,5,4,1,1,1
53,Finance,MBA,Finance Analyst,2,48394,1,2,2,0,2
46,Operations,MBA,Operations Executive,20,103337,6,2,2,1,2
46,HR,Bachelors,HR Manager,14,71593,5,4,2,1,2
50,IT,Bachelors,Software Engineer,29,56909,1,1,2,1,2
52,IT,Diploma,System Analyst,20,92568,2,2,2,1,2
27,Sales,Masters,Sales Executive,4,70441,1,3,4,0,1
57,Finance,Masters,Accountant,1,104342,2,2,4,0,1
34,Operations,MBA,Operations Executive,12,62586,6,4,3,0,3
46,Operations,Masters,Operations Executive,23,32912,2,2,2,1,2
23,Sales,Diploma,Sales Manager,2,119307,4,4,1,1,1
24,IT,Masters,Software Engineer,2,109590,4,2,4,0,1
55,Sales,Diploma,Sales Manager,1,112010,2,4,2,1,2
44,Sales,Masters,Sales Executive,17,40927,1,3,1,0,1
55,Operations,Masters,Operations Executive,16,101327,2,1,4,0,1
54,IT,Diploma,Data Scientist,17,92373,4,1,3,1,3
55,Operations,Masters,Operations Manager,33,37802,6,2,4,1,3
27,Finance,Bachelors,Accountant,0,52534,6,4,3,0,1
41,Finance,Diploma,Finance Analyst,0,46218,5,3,1,1,1
53,Sales,MBA,Sales Executive,29,65205,6,1,2,0,2
34,Sales,Diploma,Sales Executive,5,30058,1,2,1,1,1
31,Finance,MBA,Finance Analyst,9,72582,1,1,3,0,1
42,Sales,MBA,Sales Manager,10,24471,6,1,2,0,2
39,IT,Diploma,Data Scientist,8,49578,3,1,3,0,3
57,Operations,Masters,Operations Manager,25,113486,2,2,2,0,2
26,Operations,Diploma,Operations Executive,5,58243,4,1,4,1,3
50,IT,Masters,System Analyst,14,101997,5,3,4,0,3
23,HR,Bachelors,HR Manager,2,62556,1,3,4,0,1
44,Finance,Diploma,Accountant,3,77321,3,2,2,0,2
27,HR,Diploma,HR Manager,1,73349,5,1,4,0,1
54,Finance,Masters,Accountant,20,51501,5,4,1,0,1
49,Finance,MBA,Accountant,27,115186,2,3,2,0,2
37,Sales,Bachelors,Sales Manager,4,103628,3,3,3,1,3
36,IT,Bachelors,Software Engineer,12,78989,3,3,2,0,2
57,Sales,MBA,Sales Executive,33,24167,6,3,3,1,3
37,Operations,Masters,Operations Executive,10,35574,5,3,3,0,3
27,IT,Masters,System Analyst,6,91672,2,3,1,1,1
38,Operations,Masters,Operations Executive,16,28856,5,3,2,1,2
48,Operations,Masters,Operations Manager,20,110839,6,1,4,1,3
56,HR,MBA,HR Executive,24,49798,2,4,4,1,1
45,Finance,Masters,Finance Analyst,14,100664,3,2,4,1,3
37,Operations,Bachelors,Operations Executive,2,90446,2,2,2,1,2
30,HR,MBA,HR Executive,5,61286,6,4,1,0,1
27,HR,Bachelors,HR Executive,0,95066,6,1,4,1,1
27,HR,Bachelors,HR Manager,2,116935,1,3,4,0,1
25,Operations,Diploma,Operations Manager,2,55818,2,3,2,1,2
46,HR,Masters,HR Manager,2,85782,1,2,2,1,2
49,HR,Bachelors,HR Manager,11,91025,2,2,4,0,1
50,Finance,Diploma,Finance Analyst,20,56360,5,1,2,1,2
56,HR,Diploma,HR Manager,0,65602,3,4,2,0,2
25,HR,Bachelors,HR Executive,1,28135,5,3,1,1,1
29,Sales,MBA,Sales Executive,7,93940,6,2,1,0,1
33,Finance,Masters,Finance Analyst,5,22438,5,4,3,1,3
54,Sales,Masters,Sales Manager,8,30738,3,3,1,0,1
33,Operations,Diploma,Operations Manager,10,111312,4,3,2,1,2
46,IT,Diploma,Data Scientist,12,47155,1,2,3,1,1
44,Operations,Bachelors,Operations Manager,16,70116,6,4,4,0,3
48,HR,Bachelors,HR Executive,9,56814,3,1,4,1,3
26,Operations,Masters,Operations Manager,2,35991,4,4,1,1,1
51,Operations,Bachelors,Operations Manager,17,22751,1,1,3,1,1
36,HR,Masters,HR Executive,3,36388,5,4,1,1,1
52,Finance,MBA,Accountant,25,100025,5,1,1,0,1
25,Finance,Bachelors,Accountant,1,96833,5,2,4,1,1
23,Operations,MBA,Operations Executive,1,105865,4,2,4,0,1
29,IT,Masters,Data Scientist,6,35442,1,4,4,1,1
26,IT,MBA,Software Engineer,3,42376,2,2,2,0,2
32,Operations,MBA,Operations Manager,2,64947,2,4,4,1,1
46,IT,Bachelors,Software Engineer,8,112948,6,1,3,0,3
49,Operations,MBA,Operations Manager,3,95802,3,1,1,1,1
36,Sales,MBA,Sales Manager,0,29766,3,3,3,0,1
41,Operations,Diploma,Operations Executive,10,87642,2,1,4,0,1
28,Finance,Bachelors,Accountant,7,107509,5,3,4,0,3
38,Sales,MBA,Sales Executive,14,81739,3,2,1,0,1
48,Operations,MBA,Operations Executive,15,102396,3,1,2,1,2
41,Sales,Bachelors,Sales Manager,20,58134,2,3,2,0,2
22,Operations,Diploma,Operations Manager,1,21430,3,3,3,1,1
50,IT,Bachelors,Software Engineer,7,101929,2,2,4,0,1
37,Sales,Bachelors,Sales Executive,13,43889,5,1,3,1,3
32,Operations,MBA,Operations Executive,8,53530,6,3,4,1,3
45,Sales,Bachelors,Sales Manager,17,90706,4,3,3,0,3
44,Finance,MBA,Finance Analyst,22,66784,2,4,1,1,1
57,HR,MBA,HR Manager,22,112105,5,4,2,1,2
43,IT,Masters,Data Analyst,11,30803,2,1,1,1,1
24,HR,Diploma,HR Manager,1,58872,4,2,3,1,1
56,IT,MBA,Data Scientist,35,53996,3,1,1,0,1
32,Sales,Masters,Sales Manager,1,26371,2,1,3,0,1
54,HR,Masters,HR Executive,24,28658,3,3,4,0,3
32,IT,Diploma,System Analyst,10,113601,6,2,3,0,3
33,Operations,Bachelors,Operations Manager,5,89497,4,3,4,1,3
24,HR,MBA,HR Executive,2,59857,5,1,3,0,1
42,Operations,Bachelors,Operations Executive,12,117583,3,4,3,0,3
47,Finance,Bachelors,Finance Analyst,16,54073,6,2,3,1,3
38,Operations,Masters,Operations Executive,9,86704,2,3,2,0,2
27,Operations,Diploma,Operations Executive,1,87772,6,4,2,1,2
38,Operations,Masters,Operations Manager,7,57470,4,4,3,1,3
25,IT,Bachelors,System Analyst,3,115765,1,3,2,0,2
56,Operations,Masters,Operations Executive,32,28064,1,1,4,0,1
47,Finance,Bachelors,Finance Analyst,0,54549,5,1,3,0,1
37,IT,Bachelors,Data Scientist,12,33523,5,3,4,1,3
42,Sales,Masters,Sales Executive,10,97554,5,2,1,1,1
28,Finance,Bachelors,Finance Analyst,1,77198,2,4,3,0,1
53,Sales,MBA,Sales Manager,14,114567,2,4,2,0,2
29,IT,Masters,System Analyst,8,36643,3,4,3,0,3
56,IT,MBA,Software Engineer,9,26762,4,1,3,0,3
38,Sales,Masters,Sales Executive,2,117581,5,2,2,1,2
24,Finance,Bachelors,Finance Analyst,3,25525,1,3,3,1,1
55,Sales,Bachelors,Sales Executive,20,77482,3,3,3,0,3
25,HR,MBA,HR Executive,0,30348,3,1,3,1,1
53,Operations,Masters,Operations Manager,19,92761,3,4,4,1,3
30,Operations,Masters,Operations Manager,2,76115,2,1,2,0,2
35,Sales,Bachelors,Sales Executive,4,35959,4,4,2,0,2
42,IT,Bachelors,Data Scientist,0,103754,5,4,3,0,1
33,IT,MBA,Software Engineer,10,76414,2,2,3,1,1
33,Sales,Masters,Sales Manager,2,105498,4,3,1,0,1
45,Finance,Diploma,Finance Analyst,2,79328,1,4,2,1,2
39,Finance,Masters,Finance Analyst,3,97267,3,2,4,1,3
44,HR,Diploma,HR Executive,18,29877,4,4,2,0,2
58,Sales,MBA,Sales Manager,6,87969,2,2,2,0,2
56,Sales,Bachelors,Sales Executive,13,47448,4,4,1,1,1
32,HR,Diploma,HR Executive,10,24986,2,3,4,1,1
49,HR,Diploma,HR Executive,1,72210,2,1,2,0,2
57,IT,Diploma,Data Analyst,26,20933,2,3,2,0,2
24,Operations,Bachelors,Operations Executive,3,96264,5,1,4,0,3
47,Sales,Bachelors,Sales Executive,4,20665,2,4,3,1,1
43,HR,MBA,HR Executive,10,87654,5,4,4,0,3
22,IT,MBA,System Analyst,0,30752,4,3,4,0,1
24,HR,Diploma,HR Executive,3,64421,6,2,3,0,3
29,Sales,Bachelors,Sales Manager,1,119031,3,3,4,1,1
49,Operations,MBA,Operations Executive,11,56433,1,4,1,1,1
37,IT,Masters,Data Scientist,14,74501,5,4,4,1,3
37,Operations,Diploma,Operations Manager,13,66181,5,3,2,0,2
24,Operations,MBA,Operations Manager,2,99280,4,1,3,1,1
49,Finance,Diploma,Accountant,28,37117,5,2,2,1,2
23,IT,Bachelors,Data Analyst,2,88936,5,2,2,1,2
35,Finance,Masters,Finance Analyst,10,104096,4,4,4,0,3
25,IT,Masters,Data Analyst,2,94947,3,2,1,1,1
56,Operations,MBA,Operations Executive,8,35943,5,1,3,0,3
27,Sales,Bachelors,Sales Executive,2,110698,5,3,1,0,1
28,Operations,Masters,Operations Executive,6,86572,5,4,4,1,3
40,Sales,Diploma,Sales Executive,4,114406,4,4,4,0,3
42,IT,MBA,Data Scientist,2,62142,3,2,3,0,1
36,HR,Masters,HR Manager,15,23503,6,1,4,1,3
46,Operations,Masters,Operations Executive,17,37295,3,3,3,0,3
52,IT,Bachelors,Data Scientist,24,66644,1,4,1,1,1
57,IT,Diploma,Data Analyst,23,45913,3,1,3,0,3
57,Sales,Masters,Sales Manager,31,91349,2,3,3,0,1
37,HR,MBA,HR Executive,15,58875,2,1,4,0,1
58,Finance,MBA,Accountant,23,66863,3,1,2,1,2
36,HR,Bachelors,HR Executive,5,21605,4,4,2,1,2
24,Sales,MBA,Sales Manager,0,36767,1,1,1,0,1
23,IT,MBA,Data Scientist,0,112030,3,2,3,1,1
56,IT,Masters,Data Analyst,11,51426,3,2,4,0,3
28,IT,Bachelors,Data Scientist,7,32882,2,1,3,1,1
39,Finance,Masters,Accountant,7,40346,5,4,3,0,3
47,IT,MBA,Data Scientist,7,74573,6,3,2,1,2
49,HR,Bachelors,HR Executive,16,74327,4,3,4,0,3
35,Operations,Diploma,Operations Manager,12,105164,6,3,3,0,3
25,Finance,MBA,Finance Analyst,4,96435,3,1,1,1,1
36,IT,Bachelors,System Analyst,11,116321,4,1,4,0,3
35,Operations,Masters,Operations Executive,14,58480,5,3,2,0,2
37,Finance,Masters,Accountant,6,78098,1,4,3,1,1
27,IT,Masters,System Analyst,3,69573,6,1,3,0,3
55,Finance,Bachelors,Finance Analyst,20,74600,6,3,1,0,1
38,Sales,Diploma,Sales Manager,5,110351,2,2,2,1,2
32,Finance,MBA,Finance Analyst,5,77531,2,4,4,1,1
33,Sales,Masters,Sales Manager,5,111692,1,3,2,0,2
26,HR,Diploma,HR Manager,1,62975,5,3,2,0,2
55,HR,Bachelors,HR Manager,2,86053,5,4,4,1,1
55,HR,Masters,HR Manager,30,106621,5,2,3,1,3
50,Sales,MBA,Sales Executive,13,38326,6,2,2,0,2
38,Finance,Diploma,Accountant,5,71371,2,3,4,1,1
58,Finance,Bachelors,Accountant,5,86497,6,1,3,1,3
46,Finance,Masters,Accountant,17,68821,1,2,1,0,1
31,Finance,Masters,Finance Analyst,10,110384,5,1,2,1,2
26,Finance,MBA,Accountant,1,72352,2,3,3,0,1
30,Operations,Diploma,Operations Manager,0,92036,5,4,2,1,2
37,HR,MBA,HR Manager,14,32895,3,3,2,0,2
56,HR,Diploma,HR Executive,12,96006,4,4,4,0,3
32,Finance,Bachelors,Accountant,1,71523,1,3,4,0,1
58,Operations,Bachelors,Operations Manager,1,108544,5,2,3,0,1
28,IT,Masters,System Analyst,3,106276,4,4,4,0,3
58,IT,MBA,Data Analyst,8,76017,5,3,2,0,2
41,Finance,MBA,Accountant,12,91909,6,2,4,0,3
46,Operations,Masters,Operations Manager,25,114954,3,3,1,0,1
58,Finance,Masters,Finance Analyst,4,92593,1,1,2,0,2
24,Finance,MBA,Finance Analyst,0,91620,1,1,4,0,1
34,Operations,Masters,Operations Executive,3,45368,2,4,2,0,2
45,IT,Masters,Data Scientist,15,74790,3,1,1,1,1
57,Operations,Masters,Operations Executive,9,98666,3,2,1,0,1
41,Sales,Diploma,Sales Manager,16,41731,2,2,2,0,2
46,Finance,Bachelors,Finance Analyst,13,106640,4,1,3,0,3
28,HR,Diploma,HR Executive,5,39438,2,2,4,1,1
43,HR,Masters,HR Manager,13,40965,3,1,3,0,3
35,IT,MBA,Data Scientist,5,115129,5,3,3,1,3
41,Finance,MBA,Accountant,9,56828,6,1,3,0,3
52,IT,Masters,System Analyst,30,113805,2,1,4,0,1
40,Operations,Masters,Operations Manager,17,36429,2,1,1,0,1
49,Operations,Diploma,Operations Executive,2,62137,2,1,4,0,1
23,Finance,Diploma,Finance Analyst,1,20313,1,1,1,0,1
56,Finance,Diploma,Finance Analyst,17,30944,3,1,4,1,3
55,Finance,Bachelors,Finance Analyst,27,89546,3,1,2,1,2
41,Finance,Bachelors,Accountant,13,66320,1,2,4,1,1
39,Operations,Bachelors,Operations Manager,8,101174,4,4,3,1,3
46,Finance,Diploma,Accountant,25,88720,1,4,1,0,1
51,HR,Diploma,HR Manager,13,70597,2,4,1,1,1
49,Operations,MBA,Operations Executive,18,74600,4,1,2,0,2
26,Operations,Masters,Operations Executive,4,32140,2,3,3,1,1
33,Finance,Masters,Finance Analyst,12,40922,2,3,3,1,1
38,HR,MBA,HR Executive,11,65732,3,2,3,0,3
37,HR,Bachelors,HR Executive,7,112802,4,2,4,1,3
54,IT,MBA,Data Scientist,15,34358,6,1,2,1,2
40,Operations,Masters,Operations Manager,6,117551,2,2,1,1,1
51,Operations,Bachelors,Operations Manager,28,111844,6,2,1,1,1
43,Operations,Masters,Operations Executive,22,109010,4,3,4,0,3
29,HR,Masters,HR Executive,0,81261,6,2,1,0,1
31,Finance,Masters,Finance Analyst,2,110595,1,3,2,0,2
24,IT,Masters,Data Analyst,1,33271,2,3,1,0,1
46,Finance,Diploma,Finance Analyst,13,57130,3,3,1,1,1
23,Operations,Bachelors,Operations Manager,0,88109,3,1,1,0,1
55,Sales,Diploma,Sales Manager,16,60572,2,3,2,1,2
53,Finance,MBA,Accountant,20,57757,2,3,3,1,1
47,Sales,Masters,Sales Executive,24,99755,3,2,2,0,2
25,Operations,Bachelors,Operations Manager,0,55683,3,3,4,0,1
22,HR,MBA,HR Manager,1,42493,4,4,3,1,1
31,Operations,MBA,Operations Executive,0,72851,3,4,3,0,1
56,Sales,Masters,Sales Executive,13,21253,5,2,3,1,3
55,IT,Bachelors,Data Analyst,33,84623,2,2,2,1,2
32,Sales,Masters,Sales Executive,8,38998,2,3,1,0,1
42,IT,MBA,Data Analyst,4,61935,3,2,3,1,3
49,IT,Masters,Data Scientist,12,79104,6,2,2,1,2
58,IT,MBA,System Analyst,6,74077,6,1,1,1,1
32,IT,Diploma,System Analyst,5,31351,3,3,4,1,3
48,IT,Bachelors,Data Analyst,5,26022,2,1,2,1,2
33,Finance,Diploma,Accountant,9,109653,3,2,3,1,3
24,Operations,Masters,Operations Executive,0,59419,5,3,4,0,1
25,IT,Diploma,Software Engineer,0,55614,4,4,1,1,1
48,Sales,Masters,Sales Executive,22,87382,1,1,3,1,1
26,Finance,Diploma,Accountant,0,45248,6,3,2,1,2
36,Operations,Masters,Operations Executive,15,72656,1,3,1,0,1
44,HR,Diploma,HR Manager,20,81436,1,4,1,0,1
26,Finance,Masters,Accountant,4,64702,6,1,3,1,3
25,HR,Masters,HR Manager,0,119753,2,3,2,1,2
53,Operations,MBA,Operations Executive,10,46317,1,4,1,1,1
52,Finance,Masters,Finance Analyst,2,25982,2,4,1,0,1
52,IT,Diploma,Data Analyst,27,46625,5,3,4,0,3
27,IT,Masters,System Analyst,5,77085,6,2,1,1,1
46,Finance,Bachelors,Finance Analyst,10,87310,4,4,2,1,2
58,Operations,Masters,Operations Manager,8,117801,5,3,1,1,1
48,Operations,Masters,Operations Executive,10,68212,3,4,4,1,3
47,Operations,Diploma,Operations Executive,2,38811,6,1,1,1,1
26,Operations,Bachelors,Operations Executive,2,70260,3,3,2,0,2
55,Finance,Bachelors,Finance Analyst,29,24918,4,3,2,1,2
27,IT,Bachelors,Data Scientist,0,51564,4,1,4,1,1
36,Operations,Masters,Operations Executive,10,110966,4,1,4,0,3
57,Finance,Diploma,Finance Analyst,10,111539,6,1,3,1,3
57,HR,Masters,HR Executive,24,90613,3,2,1,0,1
41,Sales,Bachelors,Sales Executive,17,32181,3,3,1,0,1
46,Sales,MBA,Sales Manager,25,45240,2,3,1,0,1
45,HR,MBA,HR Manager,21,48428,1,2,4,1,1
31,Operations,Bachelors,Operations Manager,3,61974,4,3,3,0,3
56,Finance,MBA,Finance Analyst,2,112158,4,3,4,0,1
42,IT,Masters,Software Engineer,8,39412,5,3,2,1,2
36,HR,Diploma,HR Executive,11,55099,3,4,1,0,1
53,Sales,Bachelors,Sales Executive,20,29704,2,4,1,1,1
40,Operations,Masters,Operations Manager,9,40122,3,1,2,0,2
42,Operations,Bachelors,Operations Manager,14,95358,6,2,3,1,3
30,Operations,Masters,Operations Manager,2,72276,3,4,2,1,2
57,Operations,Bachelors,Operations Executive,18,102948,5,1,1,1,1
45,HR,Masters,HR Manager,7,21876,6,1,1,0,1
25,HR,MBA,HR Manager,4,107878,2,3,3,0,1
50,Finance,MBA,Accountant,18,25712,2,2,2,1,2
27,IT,Diploma,System Analyst,4,119525,1,1,1,0,1
34,IT,Bachelors,Data Scientist,7,76259,2,3,2,1,2
50,Sales,Masters,Sales Executive,2,42108,4,2,2,0,2
34,HR,Bachelors,HR Executive,0,46004,1,2,4,0,1
45,Finance,Masters,Accountant,16,61935,5,4,1,0,1
36,Finance,Bachelors,Accountant,9,104327,6,1,3,1,3
27,Sales,MBA,Sales Executive,3,28801,4,1,3,1,3
46,IT,MBA,Software Engineer,22,29241,2,3,1,0,1
40,Finance,Bachelors,Finance Analyst,2,76997,3,4,3,1,1
42,Sales,MBA,Sales Executive,19,118782,1,1,4,0,1
34,IT,Bachelors,Software Engineer,2,88792,1,3,4,0,1
32,Operations,MBA,Operations Manager,9,99811,6,3,2,0,2
24,Sales,Bachelors,Sales Manager,0,93810,3,2,1,1,1
35,Finance,Masters,Accountant,1,86615,3,1,1,0,1
32,IT,Masters,Data Analyst,8,100677,3,3,4,0,3
58,IT,Bachelors,Data Scientist,5,118234,6,3,3,1,3
51,IT,MBA,Software Engineer,25,64675,1,3,1,0,1
23,Finance,MBA,Accountant,1,117430,1,2,2,1,2
29,Sales,MBA,Sales Manager,5,108911,2,3,1,1,1
36,IT,Masters,Software Engineer,4,115246,5,1,1,0,1
41,Operations,Masters,Operations Executive,18,36613,4,3,3,0,3
34,Operations,Diploma,Operations Executive,0,115921,4,2,4,0,1
33,Operations,Diploma,Operations Manager,8,72586,4,4,3,0,3
26,IT,Masters,Data Analyst,5,92730,6,2,3,1,3
52,Finance,Masters,Finance Analyst,10,61337,4,1,1,1,1
39,IT,Diploma,Software Engineer,13,87399,4,1,2,1,2
23,IT,MBA,Data Scientist,1,29067,5,4,4,1,1
38,Sales,MBA,Sales Manager,4,71727,5,3,1,0,1
36,Operations,Bachelors,Operations Executive,15,108386,1,4,3,1,1
53,HR,Masters,HR Manager,15,118689,5,3,2,0,2
30,Sales,Diploma,Sales Manager,0,66125,2,3,2,0,2
46,Sales,Bachelors,Sales Manager,20,108089,6,1,1,1,1
33,Sales,Bachelors,Sales Executive,11,108345,6,2,1,0,1
27,Finance,Masters,Finance Analyst,1,20418,3,2,4,0,1
58,Operations,Bachelors,Operations Executive,35,29969,4,2,4,1,3
57,Finance,Bachelors,Finance Analyst,7,115862,3,2,2,0,2
42,Finance,Bachelors,Accountant,13,22270,3,1,2,0,2
51,HR,Masters,HR Executive,15,59574,3,3,4,1,3
41,Operations,Bachelors,Operations Manager,10,51750,4,2,4,1,3
53,Operations,Masters,Operations Manager,16,33474,6,1,1,1,1
39,Operations,MBA,Operations Manager,2,101105,3,2,1,0,1
31,Sales,MBA,Sales Manager,10,67177,6,3,3,0,3
48,IT,Diploma,Software Engineer,25,94789,5,2,1,0,1
28,Finance,Masters,Finance Analyst,1,97293,3,3,2,0,2
41,Operations,Diploma,Operations Executive,6,62776,3,2,3,1,3
42,IT,Masters,Data Scientist,3,59269,3,2,1,0,1
50,Sales,Diploma,Sales Manager,0,91252,4,1,3,0,1
42,HR,Diploma,HR Manager,8,22690,6,4,2,1,2
35,Sales,Masters,Sales Executive,2,25920,6,1,2,1,2
49,HR,Diploma,HR Manager,7,78228,5,3,3,0,3
44,IT,Diploma,Software Engineer,1,76967,2,2,4,1,1
24,IT,MBA,System Analyst,1,85259,5,4,4,1,1
30,Sales,MBA,Sales Manager,1,73051,1,3,3,0,1
50,HR,Bachelors,HR Executive,5,79547,4,3,4,1,3
26,Finance,Masters,Finance Analyst,1,101197,3,4,3,0,1
41,Finance,Diploma,Accountant,2,113232,4,4,4,1,1
51,Operations,Masters,Operations Manager,19,103435,5,1,3,0,3
47,Operations,Diploma,Operations Executive,17,99992,1,2,4,0,1
28,Finance,MBA,Finance Analyst,6,49255,3,4,4,0,3
35,IT,Diploma,Data Analyst,5,96018,1,1,4,0,1
41,Finance,Diploma,Finance Analyst,10,49908,5,3,3,0,3
49,Sales,MBA,Sales Executive,26,113862,4,2,1,1,1
40,IT,Masters,Data Analyst,11,63903,2,1,2,0,2
23,Operations,MBA,Operations Manager,1,106400,2,4,4,1,1
25,IT,MBA,Software Engineer,1,79372,1,1,1,1,1
29,IT,Diploma,Data Analyst,2,71092,1,2,4,1,1
56,IT,Bachelors,Software Engineer,7,118353,2,1,2,1,2
23,HR,Masters,HR Executive,2,106009,1,1,3,1,1
50,IT,Bachelors,Data Analyst,10,71140,4,2,1,1,1
25,Sales,Bachelors,Sales Manager,1,60647,5,3,3,1,1
48,Sales,Masters,Sales Manager,4,79567,1,1,4,0,1
33,IT,MBA,System Analyst,9,99490,5,3,1,1,1
58,Operations,Masters,Operations Manager,6,106739,6,2,1,0,1
36,Operations,Bachelors,Operations Executive,13,103538,6,4,1,1,1
24,Operations,Bachelors,Operations Executive,2,105638,4,2,3,1,1
43,Finance,Diploma,Accountant,17,62733,3,3,4,0,3
42,HR,Diploma,HR Executive,12,28222,3,1,2,1,2
34,Finance,Bachelors,Finance Analyst,4,118961,1,1,3,1,1
26,Sales,Diploma,Sales Manager,1,103489,6,1,2,1,2
35,HR,MBA,HR Executive,13,46553,5,3,3,0,3
22,Sales,MBA,Sales Manager,0,35916,4,4,4,1,1
46,Sales,Diploma,Sales Manager,13,24443,4,1,3,1,3
37,Sales,Masters,Sales Executive,6,28559,5,3,2,0,2
28,IT,MBA,Data Scientist,6,75373,1,2,4,0,1
23,HR,Bachelors,HR Manager,0,119580,1,4,3,0,1
26,IT,Diploma,Software Engineer,5,117193,1,2,3,0,1
56,HR,MBA,HR Manager,10,118006,5,2,4,1,3
54,Operations,Diploma,Operations Executive,6,96111,2,1,2,1,2
27,Sales,Bachelors,Sales Executive,5,95300,2,1,2,0,2
43,Sales,MBA,Sales Manager,3,92011,3,1,4,0,3
24,IT,MBA,Software Engineer,0,62478,1,1,1,1,1
49,Sales,Masters,Sales Manager,0,20991,1,2,1,0,1
31,Sales,Bachelors,Sales Manager,10,100935,4,4,4,1,3
55,Finance,Bachelors,Finance Analyst,34,39491,3,2,1,0,1
27,Operations,MBA,Operations Manager,5,37988,4,3,3,1,3
23,HR,Bachelors,HR Executive,2,96242,3,3,1,1,1
43,Sales,MBA,Sales Manager,17,68825,5,3,3,1,3
49,HR,Diploma,HR Manager,16,94934,1,3,4,1,1
39,Sales,Masters,Sales Executive,8,44303,3,3,4,0,3
41,IT,Masters,Data Analyst,5,20477,2,1,2,0,2
55,Operations,MBA,Operations Executive,29,81718,3,1,2,1,2
39,Finance,Diploma,Accountant,5,97914,5,2,2,1,2
52,Operations,Diploma,Operations Executive,15,69239,2,1,4,1,1
30,Operations,MBA,Operations Executive,8,57526,1,4,4,1,1
35,HR,MBA,HR Manager,10,40231,1,3,3,0,1
40,Sales,Masters,Sales Manager,16,40551,4,1,2,0,2
31,Operations,Bachelors,Operations Executive,5,73196,2,2,3,0,1
25,IT,Bachelors,Data Analyst,2,34774,1,4,1,0,1
37,IT,Bachelors,System Analyst,4,116298,5,2,1,1,1
32,Operations,Masters,Operations Executive,2,101461,1,4,3,0,1
38,IT,MBA,System Analyst,0,76186,4,2,3,0,1
51,Operations,MBA,Operations Executive,20,43357,4,2,1,0,1
24,Finance,MBA,Accountant,2,94251,1,3,1,1,1
53,HR,Bachelors,HR Executive,21,53369,2,3,4,1,1
44,Finance,Bachelors,Accountant,8,111885,6,1,4,1,3
25,IT,Masters,System Analyst,4,67202,1,3,2,0,2
38,IT,Masters,Software Engineer,13,54817,2,3,3,0,1
45,Operations,Masters,Operations Manager,19,45378,5,2,2,1,2
41,HR,Masters,HR Executive,19,64499,6,4,4,0,3
41,Sales,Diploma,Sales Executive,8,94876,3,3,4,1,3
57,IT,Bachelors,System Analyst,19,100215,6,3,1,0,1
53,Sales,MBA,Sales Manager,9,78451,4,2,3,1,3
50,HR,Masters,HR Manager,0,55059,1,4,1,0,1
34,HR,Masters,HR Executive,8,113592,2,4,1,1,1
35,Sales,Diploma,Sales Executive,2,62795,2,1,3,1,1
42,Sales,MBA,Sales Manager,20,83979,4,3,4,1,3
23,Sales,Masters,Sales Manager,1,104230,6,2,3,1,1
48,Operations,Masters,Operations Manager,16,103301,1,2,3,0,1
27,Operations,Bachelors,Operations Manager,4,37706,5,3,2,0,2
25,Sales,Diploma,Sales Manager,0,64068,3,4,2,0,2
48,Sales,Masters,Sales Manager,27,27741,5,2,2,1,2
51,Operations,Diploma,Operations Manager,18,27387,2,3,3,0,1
24,HR,Diploma,HR Manager,0,116138,2,3,3,0,1
28,Operations,Masters,Operations Manager,4,54487,4,1,4,0,3
54,Sales,Bachelors,Sales Manager,1,110285,5,2,1,0,1
40,HR,Diploma,HR Executive,17,27091,4,1,3,0,3
51,HR,Diploma,HR Manager,0,115349,2,2,3,0,1
54,HR,MBA,HR Executive,29,105233,6,3,3,1,3
57,Sales,Bachelors,Sales Manager,7,39877,1,2,3,0,1
58,Finance,MBA,Accountant,17,82699,5,3,2,0,2
34,IT,Bachelors,System Analyst,1,40033,3,2,2,1,2
55,Sales,Diploma,Sales Executive,28,119922,6,3,3,0,3
58,HR,Bachelors,HR Executive,1,78637,4,2,3,0,1
31,Sales,Masters,Sales Executive,6,101468,2,2,3,1,1
36,HR,Masters,HR Manager,14,35450,6,3,1,0,1
51,Operations,Bachelors,Operations Manager,28,31972,4,2,2,0,2
